TimeStamp,ECG Data,GSR Data
360,527,1023
361,522,1023
362,522,1023
363,520,1023
364,521,1023
365,522,1023
366,527,1023
367,530,1023
368,534,1023
369,537,1023
370,540,1023
371,544,1023
372,549,1023
373,557,1023
374,563,1023
375,573,1023
376,580,1023
377,590,1023
378,596,1023
379,605,1023
380,608,1023
381,617,1023
382,621,1023
383,628,1023
384,632,1023
385,637,1023
386,638,1023
387,641,1023
388,640,1023
389,639,1023
390,634,1023
391,630,1023
392,624,1023
393,618,1023
394,611,1023
395,603,1023
396,596,1023
397,588,1023
398,581,1023
399,572,1023
400,565,1023
401,556,1023
402,548,1023
403,538,1023
404,530,1023
405,518,1023
406,511,1023
407,497,1023
408,487,1023
409,476,1023
410,471,1023
411,466,1023
412,465,1023
413,460,1023
414,456,1023
415,450,1023
416,443,1023
417,434,1023
418,429,1023
419,432,1023
420,441,1023
421,461,1023
422,492,1023
423,534,1023
424,574,1023
425,617,1023
426,669,1023
427,707,1023
428,721,1023
429,732,1023
430,734,1023
431,733,1023
432,726,1023
433,720,1023
434,705,1023
435,696,1023
436,687,1023
437,658,1023
438,621,1023
439,593,1023
440,567,1023
441,563,1023
442,555,1023
443,482,1023
444,415,1023
445,367,1023
446,334,1023
447,354,1023
448,413,1023
449,460,1023
450,496,1023
451,533,1023
452,580,1023
453,620,1023
454,651,1023
455,665,1023
456,674,1023
457,673,1023
458,674,1023
459,662,1023
460,644,1023
461,623,1023
462,603,1023
463,583,1023
464,569,1023
465,553,1023
466,540,1023
467,526,1023
468,512,1023
469,501,1023
470,489,1023
471,480,1023
472,470,1023
473,463,1023
474,455,1023
475,449,1023
476,440,1023
477,436,1023
478,429,1023
479,427,1023
480,422,1023
481,421,1023
482,418,1023
483,418,1023
484,416,1023
485,414,1023
486,409,1023
487,408,1023
488,405,1023
489,403,1023
490,402,1023
491,401,1023
492,399,1023
493,397,1023
494,395,1023
495,392,1023
496,389,1023
497,387,1023
498,388,1023
499,387,1023
500,389,1023
501,384,1023
502,383,1023
503,375,1023
504,377,1023
505,378,1023
506,382,1023
507,383,1023
508,387,1023
509,388,1023
510,394,1023
511,398,1023
512,405,1023
513,410,1023
514,416,1023
515,423,1023
516,430,1023
517,437,1023
518,445,1023
519,453,1023
520,459,1023
521,468,1023
522,475,1023
523,485,1023
524,493,1023
525,507,1023
526,520,1023
527,540,1023
528,565,1023
529,608,1023
530,669,1023
531,801,1023
532,1023,1023
533,1023,1023
534,1023,1023
535,1023,1023
536,1023,1023
537,1023,1023
538,1023,1023
539,1023,1023
540,1023,1023
541,1023,1023
542,1023,1023
543,1023,1023
544,1023,1023
545,1023,1023
546,1023,1023
547,1023,1023
548,1023,1023
549,1023,1023
550,1023,1023
551,1023,1023
552,1023,1023
553,1023,1023
554,1023,1023
555,1023,1023
556,1023,1023
557,1023,1023
558,1023,1023
559,1023,1023
560,1023,1023
561,1023,1023
562,1023,1023
563,1023,1023
564,1023,1023
565,1023,1023
566,1023,1023
567,1023,1023
568,1023,1023
569,1023,1023
570,1023,1023
571,1023,1023
572,1023,1023
573,1023,1023
574,1023,1023
575,1023,1023
576,1023,1023
577,1023,1023
578,1023,1023
579,1023,1023
580,1023,1023
581,1023,1023
582,1023,1023
583,1023,1023
584,1023,1023
585,1023,1023
586,1023,1023
587,1023,1023
588,1023,1023
589,1023,1023
590,1023,1023
591,1023,1023
592,1023,1023
593,1023,1023
594,1023,1023
595,1023,1023
596,1023,1023
597,153,1023
598,14,1023
599,2,1023
600,0,1023
601,0,1023
602,0,1023
603,0,1023
604,0,1023
605,0,1023
606,0,1023
607,0,1023
608,0,1023
609,0,1023
610,0,1023
611,0,1023
612,0,1023
613,0,1023
614,0,1023
615,0,1023
616,0,1023
617,0,1023
618,0,1023
619,0,1023
620,0,1023
621,0,1023
622,0,1023
623,0,1023
624,0,1023
625,0,1023
626,0,1023
627,0,1023
628,0,1023
629,0,1023
630,0,1023
631,0,1023
632,0,1023
633,0,1023
634,0,1023
635,0,1023
636,0,1023
637,0,1023
638,0,1023
639,0,1023
640,0,1023
641,0,1023
642,0,1023
643,0,1023
644,0,1023
645,0,1023
646,0,1023
647,0,1023
648,0,1023
649,0,1023
650,0,1023
651,0,1023
652,0,1023
653,0,1023
654,0,1023
655,0,1023
656,0,1023
657,0,1023
658,0,1023
659,0,1023
660,0,1023
661,0,1023
662,0,1023
663,0,1023
664,0,1023
665,0,1023
666,0,1023
667,0,1023
668,0,1023
669,0,1023
670,0,1023
671,0,1023
672,0,1023
673,0,1023
674,0,1023
675,0,1023
676,0,1023
677,0,1023
678,0,1023
679,0,1023
680,0,1023
681,0,1023
682,0,1023
683,0,1023
684,0,1023
685,0,1023
686,0,1023
687,0,1023
688,0,1023
689,0,1023
690,0,1023
691,0,1023
692,0,1023
693,0,1023
694,0,1023
695,0,1023
696,0,1023
697,0,1023
698,0,1023
699,0,1023
700,0,1023
701,0,1023
702,0,1023
703,0,1023
704,0,1023
705,0,1023
706,0,1023
707,0,1023
708,0,1023
709,0,1023
710,0,1023
711,0,1023
712,0,1023
713,0,1023
714,0,1023
715,0,1023
716,0,1023
717,0,1023
718,0,1023
719,0,1023
720,0,1023
721,0,1023
722,0,1023
723,0,1023
724,0,1023
725,0,1023
726,0,1023
727,0,1023
728,0,1023
729,0,1023
730,0,1023
731,0,1023
732,0,1023
733,0,1023
734,0,1023
735,0,1023
736,0,1023
737,0,1023
738,0,1023
739,0,1023
740,0,1023
741,0,1023
742,0,1023
743,0,1023
744,0,1023
745,0,1023
746,0,1023
747,0,1023
748,0,1023
749,0,1023
750,0,1023
751,0,1023
752,0,1023
753,0,1023
754,0,1023
755,0,1023
756,0,1023
757,0,1023
758,0,1023
759,0,1023
760,0,1023
761,0,1023
762,0,1023
763,0,1023
764,0,1023
765,0,1023
766,0,1023
767,0,1023
768,0,1023
769,0,1023
770,0,1023
771,0,1023
772,0,1023
773,0,1023
774,0,1023
775,0,1023
776,0,1023
777,0,1023
778,0,1023
779,0,1023
780,0,1023
781,0,1023
782,0,1023
783,0,1023
784,0,1023
785,0,1023
786,3,1023
787,8,1023
788,12,1023
789,17,1023
790,22,1023
791,39,1023
792,61,1023
793,75,1023
794,101,1023
795,139,1023
796,277,1023
797,1023,1023
798,1023,1023
799,1023,1023
800,1023,1023
801,1023,1023
802,1023,1023
803,1023,1023
804,1023,1023
805,1023,1023
806,1023,1023
807,1023,1023
808,1023,1023
809,1023,1023
810,1023,1023
811,1023,1023
812,1023,1023
813,1023,1023
814,1023,1023
815,1023,1023
816,1023,1023
817,1023,1023
818,177,1023
819,15,1023
820,2,1023
821,0,1023
822,0,1023
823,0,1023
824,0,1023
825,0,1023
826,0,1023
827,0,1023
828,0,1023
829,0,1023
830,0,1023
831,0,1023
832,0,1023
833,0,1023
834,0,1023
835,0,1023
836,0,1023
837,0,1023
838,0,1023
839,0,1023
840,0,1023
841,0,1023
842,0,1023
843,0,1023
844,0,1023
845,0,1023
846,0,1023
847,0,1023
848,0,1023
849,0,1023
850,0,1023
851,0,1023
852,0,1023
853,0,1023
854,0,1023
855,0,1023
856,0,1023
857,0,1023
858,0,1023
859,0,1023
860,0,1023
861,0,1023
862,0,1023
863,0,1023
864,0,1023
865,0,1023
866,0,1023
867,0,1023
868,0,1023
869,0,1023
870,0,1023
871,0,1023
872,0,1023
873,0,1023
874,0,1023
875,17,1023
876,47,1023
877,80,1023
878,109,1023
879,138,1023
880,165,1023
881,192,1023
882,215,1023
883,239,1023
884,260,1023
885,281,1023
886,301,1023
887,319,1023
888,337,1023
889,353,1023
890,370,1023
891,384,1023
892,399,1023
893,411,1023
894,426,1023
895,439,1023
896,454,1023
897,467,1023
898,484,1023
899,496,1023
900,513,1023
901,527,1023
902,544,1023
903,557,1023
904,573,1023
905,585,1023
906,599,1023
907,611,1023
908,623,1023
909,634,1023
910,645,1023
911,656,1023
912,666,1023
913,676,1023
914,685,1023
915,695,1023
916,703,1023
917,712,1023
918,719,1023
919,728,1023
920,735,1023
921,744,1023
922,750,1023
923,759,1023
924,764,1023
925,773,1023
926,778,1023
927,785,1023
928,790,1023
929,796,1023
930,800,1023
931,806,1023
932,811,1023
933,815,1023
934,820,1023
935,825,1023
936,829,1023
937,832,1023
938,837,1023
939,840,1023
940,845,1023
941,847,1023
942,850,1023
943,850,1023
944,853,1023
945,853,1023
946,857,1023
947,857,1023
948,861,1023
949,861,1023
950,864,1023
951,865,1023
952,868,1023
953,868,1023
954,871,1023
955,872,1023
956,874,1023
957,875,1023
958,878,1023
959,880,1023
960,881,1023
961,884,1023
962,885,1023
963,888,1023
964,888,1023
965,891,1023
966,890,1023
967,894,1023
968,895,1023
969,899,1023
970,900,1023
971,905,1023
972,906,1023
973,912,1023
974,913,1023
975,918,1023
976,921,1023
977,925,1023
978,927,1023
979,932,1023
980,933,1023
981,935,1023
982,937,1023
983,939,1023
984,940,1023
985,940,1023
986,941,1023
987,939,1023
988,940,1023
989,940,1023
990,943,1023
991,944,1023
992,945,1023
993,942,1023
994,942,1023
995,937,1023
996,934,1023
997,929,1023
998,926,1023
999,921,1023
1000,918,1023
1001,913,1023
1002,910,1023
1003,905,1023
1004,902,1023
1005,898,1023
1006,895,1023
1007,892,1023
1008,888,1023
1009,886,1023
1010,883,1023
1011,882,1023
1012,879,1023
1013,879,1023
1014,877,1023
1015,879,1023
1016,878,1023
1017,881,1023
1018,881,1023
1019,885,1023
1020,887,1023
1021,893,1023
1022,895,1023
1023,901,1023
1024,904,1023
1025,912,1023
1026,917,1023
1027,925,1023
1028,931,1023
1029,939,1023
1030,948,1023
1031,961,1023
1032,978,1023
1033,998,1023
1034,1019,1023
1035,1023,1023
1036,1023,1023
1037,1023,1023
1038,1023,1023
1039,1023,1023
1040,1023,1023
1041,1023,1023
1042,1023,1023
1043,1022,1023
1044,996,1023
1045,966,1023
1046,941,1023
1047,914,1023
1048,893,1023
1049,871,1023
1050,853,1023
1051,835,1023
1052,820,1023
1053,805,1023
1054,793,1023
1055,782,1023
1056,773,1023
1057,764,1023
1058,756,1023
1059,748,1023
1060,742,1023
1061,736,1023
1062,731,1023
1063,728,1023
1064,723,1023
1065,722,1023
1066,718,1023
1067,718,1023
1068,715,1023
1069,715,1023
1070,713,1023
1071,713,1023
1072,710,1023
1073,712,1023
1074,709,1023
1075,709,1023
1076,707,1023
1077,707,1023
1078,705,1023
1079,705,1023
1080,704,1023
1081,703,1023
1082,703,1023
1083,703,1023
1084,704,1023
1085,704,1023
1086,707,1023
1087,709,1023
1088,712,1023
1089,713,1023
1090,716,1023
1091,716,1023
1092,721,1023
1093,721,1023
1094,725,1023
1095,724,1023
1096,726,1023
1097,724,1023
1098,725,1023
1099,722,1023
1100,720,1023
1101,715,1023
1102,711,1023
1103,705,1023
1104,702,1023
1105,698,1023
1106,696,1023
1107,693,1023
1108,690,1023
1109,688,1023
1110,684,1023
1111,683,1023
1112,679,1023
1113,677,1023
1114,672,1023
1115,670,1023
1116,664,1023
1117,664,1023
1118,663,1023
1119,665,1023
1120,663,1023
1121,665,1023
1122,663,1023
1123,663,1023
1124,661,1023
1125,660,1023
1126,657,1023
1127,656,1023
1128,654,1023
1129,653,1023
1130,651,1023
1131,649,1023
1132,647,1023
1133,645,1023
1134,645,1023
1135,640,1023
1136,639,1023
1137,634,1023
1138,632,1023
1139,631,1023
1140,632,1023
1141,631,1023
1142,634,1023
1143,632,1023
1144,634,1023
1145,632,1023
1146,634,1023
1147,633,1023
1148,634,1023
1149,633,1023
1150,634,1023
1151,632,1023
1152,632,1023
1153,628,1023
1154,623,1023
1155,620,1023
1156,628,1023
1157,647,1023
1158,672,1023
1159,696,1023
1160,718,1023
1161,737,1023
1162,744,1023
1163,741,1023
1164,717,1023
1165,679,1023
1166,643,1023
1167,627,1023
1168,615,1023
1169,610,1023
1170,605,1023
1171,605,1023
1172,604,1023
1173,606,1023
1174,605,1023
1175,606,1023
1176,605,1023
1177,607,1023
1178,608,1023
1179,610,1023
1180,613,1023
1181,615,1023
1182,619,1023
1183,622,1023
1184,626,1023
1185,630,1023
1186,638,1023
1187,647,1023
1188,659,1023
1189,672,1023
1190,697,1023
1191,727,1023
1192,762,1023
1193,781,1023
1194,789,1023
1195,786,1023
1196,788,1023
1197,795,1023
1198,814,1023
1199,829,1023
1200,841,1023
1201,848,1023
1202,839,1023
1203,819,1023
1204,795,1023
1205,770,1023
1206,745,1023
1207,723,1023
1208,703,1023
1209,687,1023
1210,671,1023
1211,660,1023
1212,649,1023
1213,642,1023
1214,634,1023
1215,631,1023
1216,626,1023
1217,623,1023
1218,618,1023
1219,616,1023
1220,611,1023
1221,609,1023
1222,604,1023
1223,603,1023
1224,599,1023
1225,598,1023
1226,596,1023
1227,596,1023
1228,595,1023
1229,594,1023
1230,594,1023
1231,593,1023
1232,593,1023
1233,592,1023
1234,592,1023
1235,591,1023
1236,592,1023
1237,590,1023
1238,592,1023
1239,590,1023
1240,593,1023
1241,592,1023
1242,595,1023
1243,594,1023
1244,596,1023
1245,595,1023
1246,598,1023
1247,596,1023
1248,597,1023
1249,596,1023
1250,596,1023
1251,595,1023
1252,597,1023
1253,598,1023
1254,598,1023
1255,600,1023
1256,600,1023
1257,601,1023
1258,599,1023
1259,599,1023
1260,597,1023
1261,596,1023
1262,592,1023
1263,592,1023
1264,589,1023
1265,592,1023
1266,591,1023
1267,594,1023
1268,594,1023
1269,598,1023
1270,598,1023
1271,603,1023
1272,604,1023
1273,606,1023
1274,605,1023
1275,606,1023
1276,606,1023
1277,606,1023
1278,605,1023
1279,604,1023
1280,604,1023
1281,604,1023
1282,605,1023
1283,604,1023
1284,606,1023
1285,606,1023
1286,609,1023
1287,608,1023
1288,609,1023
1289,608,1023
1290,610,1023
1291,609,1023
1292,611,1023
1293,609,1023
1294,612,1023
1295,612,1023
1296,616,1023
1297,616,1023
1298,620,1023
1299,621,1023
1300,624,1023
1301,623,1023
1302,619,1023
1303,628,1023
1304,644,1023
1305,659,1023
1306,664,1023
1307,666,1023
1308,655,1023
1309,626,1023
1310,602,1023
1311,593,1023
1312,594,1023
1313,600,1023
1314,602,1023
1315,606,1023
1316,605,1023
1317,606,1023
1318,604,1023
1319,604,1023
1320,601,1023
1321,601,1023
1322,598,1023
1323,596,1023
1324,593,1023
1325,592,1023
1326,590,1023
1327,591,1023
1328,592,1023
1329,593,1023
1330,594,1023
1331,595,1023
1332,598,1023
1333,601,1023
1334,609,1023
1335,621,1023
1336,646,1023
1337,669,1023
1338,697,1023
1339,716,1023
1340,730,1023
1341,737,1023
1342,751,1023
1343,762,1023
1344,785,1023
1345,822,1023
1346,867,1023
1347,916,1023
1348,1010,1023
1349,1023,1023
1350,1023,1023
1351,1023,1023
1352,1023,1023
1353,1023,1023
1354,1023,1023
1355,1023,1023
1356,1023,1023
1357,1023,1023
1358,1023,1023
1359,1023,1023
1360,1023,1023
1361,1023,1023
1362,1023,1023
1363,1023,1023
1364,1023,1023
1365,1023,1023
1366,1023,1023
1367,1023,1023
1368,1023,1023
1369,1023,1023
1370,1023,1023
1371,1023,1023
1372,1023,1023
1373,1023,1023
1374,1023,1023
1375,279,1023
1376,24,1023
1377,3,1023
1378,1,1023
1379,0,1023
1380,0,1023
1381,0,1023
1382,0,1023
1383,0,1023
1384,0,1023
1385,0,1023
1386,0,1023
1387,0,1023
1388,0,1023
1389,0,1023
1390,0,1023
1391,0,1023
1392,0,1023
1393,0,1023
1394,0,1023
1395,0,1023
1396,0,1023
1397,0,1023
1398,0,1023
1399,0,1023
1400,0,1023
1401,0,1023
1402,0,1023
1403,0,1023
1404,0,1023
1405,0,1023
1406,0,1023
1407,0,1023
1408,0,1023
1409,0,1023
1410,0,1023
1411,0,1023
1412,0,1023
1413,0,1023
1414,0,1023
1415,0,1023
1416,0,1023
1417,0,1023
1418,0,1023
1419,0,1023
1420,0,1023
1421,0,1023
1422,0,1023
1423,0,1023
1424,0,1023
1425,0,1023
1426,0,1023
1427,0,1023
1428,0,1023
1429,0,1023
1430,0,1023
1431,0,1023
1432,0,1023
1433,0,1023
1434,0,1023
1435,0,1023
1436,0,1023
1437,0,1023
1438,0,1023
1439,0,1023
1440,0,1023
1441,0,1023
1442,0,1023
1443,0,1023
1444,0,1023
1445,0,1023
1446,0,1023
1447,0,1023
1448,0,1023
1449,0,1023
1450,0,1023
1451,0,1023
1452,0,1023
1453,0,1023
1454,0,1023
1455,0,1023
1456,0,1023
1457,22,1023
1458,55,1023
1459,86,1023
1460,108,1023
1461,123,1023
1462,129,1023
1463,136,1023
1464,137,1023
1465,144,1023
1466,148,1023
1467,159,1023
1468,168,1023
1469,182,1023
1470,194,1023
1471,209,1023
1472,223,1023
1473,239,1023
1474,256,1023
1475,273,1023
1476,289,1023
1477,295,1023
1478,297,1023
1479,294,1023
1480,291,1023
1481,290,1023
1482,295,1023
1483,298,1023
1484,298,1023
1485,282,1023
1486,261,1023
1487,234,1023
1488,234,1023
1489,243,1023
1490,268,1023
1491,301,1023
1492,364,1023
1493,431,1023
1494,484,1023
1495,537,1023
1496,607,1023
1497,661,1023
1498,698,1023
1499,752,1023
1500,806,1023
1501,860,1023
1502,959,1023
1503,1023,1023
1504,1023,1023
1505,1023,1023
1506,1023,1023
1507,1023,1023
1508,1023,1023
1509,1023,1023
1510,1023,1023
1511,1023,1023
1512,1023,1023
1513,1023,1023
1514,1023,1023
1515,1023,1023
1516,1023,1023
1517,1023,1023
1518,1023,1023
1519,1023,1023
1520,1023,1023
1521,1023,1023
1522,1023,1023
1523,1023,1023
1524,1023,1023
1525,1023,1023
1526,1023,1023
1527,1023,1023
1528,1023,1023
1529,1023,1023
1530,1023,1023
1531,1023,1023
1532,1023,1023
1533,1023,1023
1534,1023,1023
1535,1023,1023
1536,1023,1023
1537,1023,1023
1538,1023,1023
1539,1023,1023
1540,1023,1023
1541,1023,1023
1542,1023,1023
1543,1023,1023
1544,1023,1023
1545,1023,1023
1546,1023,1023
1547,1023,1023
1548,1023,1023
1549,1023,1023
1550,1023,1023
1551,1023,1023
1552,1023,1023
1553,1023,1023
1554,1023,1023
1555,1023,1023
1556,1023,1023
1557,1023,1023
1558,1023,1023
1559,1023,1023
1560,1023,1023
1561,1023,1023
1562,1023,1023
1563,1023,1023
1564,1023,1023
1565,1023,1023
1566,1023,1023
1567,1023,1023
1568,1023,1023
1569,1023,1023
1570,1023,1023
1571,1023,1023
1572,1023,1023
1573,1023,1023
1574,1023,1023
1575,1023,1023
1576,1023,1023
1577,1023,1023
1578,1023,1023
1579,1023,1023
1580,1023,1023
1581,1023,1023
1582,1023,1023
1583,1023,1023
1584,1023,1023
1585,1023,1023
1586,1023,1023
1587,1023,1023
1588,1023,1023
1589,1023,1023
1590,1023,1023
1591,1023,1023
1592,1023,1023
1593,1023,1023
1594,1023,1023
1595,1023,1023
1596,1023,1023
1597,1023,1023
1598,1023,1023
1599,1023,1023
1600,1023,1023
1601,1023,1023
1602,1023,1023
1603,1023,1023
1604,1023,1023
1605,1023,1023
1606,1023,1023
1607,1023,1023
1608,1023,1023
1609,1023,1023
1610,1023,1023
1611,1023,1023
1612,1023,1023
1613,1023,1023
1614,1023,1023
1615,1023,1023
1616,1023,1023
1617,1023,1023
1618,1023,1023
1619,1023,1023
1620,1023,1023
1621,1023,1023
1622,1023,1023
1623,1023,1023
1624,1023,1023
1625,1023,1023
1626,1023,1023
1627,1023,1023
1628,1023,1023
1629,1023,1023
1630,1023,1023
1631,1023,1023
1632,1023,1023
1633,1023,1023
1634,1023,1023
1635,1023,1023
1636,1023,1023
1637,1023,1023
1638,1023,1023
1639,1023,1023
1640,1023,1023
1641,1023,1023
1642,1023,1023
1643,1023,1023
1644,1023,1023
1645,1023,1023
1646,1023,1023
1647,1023,1023
1648,1023,1023
1649,1023,1023
1650,1023,1023
1651,1023,1023
1652,1023,1023
1653,1023,1023
1654,1023,1023
