TimeStamp,ECG Data,EMG Data,EDA Data,lowGamma,highGamma,highAlpha,delta,highBeta,lowAlpha,lowBeta,theta,attention,meditation 
36252,507,514,659.0,1,0,0,0,0,0,0,0,0,0
36253,507,513,659.0,1,0,0,0,0,0,0,0,0,0
36254,507,513,659.0,1,0,0,0,0,0,0,0,0,0
36255,508,512,659.0,1,0,0,0,0,0,0,0,0,0
36256,507,510,659.0,1,0,0,0,0,0,0,0,0,0
36257,506,511,659.0,1,0,0,0,0,0,0,0,0,0
36258,508,513,659.0,1,0,0,0,0,0,0,0,0,0
36259,510,513,659.0,1,0,0,0,0,0,0,0,0,0
36260,512,512,659.0,1,0,0,0,0,0,0,0,0,0
36261,511,512,659.0,1,0,0,0,0,0,0,0,0,0
36262,504,512,659.0,1,0,0,0,0,0,0,0,0,0
36263,501,511,659.0,1,0,0,0,0,0,0,0,0,0
36264,502,511,659.0,1,0,0,0,0,0,0,0,0,0
36265,505,509,659.0,1,0,0,0,0,0,0,0,0,0
36266,511,506,659.0,1,0,0,0,0,0,0,0,0,0
36267,519,506,659.0,1,0,0,0,0,0,0,0,0,0
36268,530,508,659.0,1,0,0,0,0,0,0,0,0,0
36269,544,510,659.0,1,0,0,0,0,0,0,0,0,0
36270,561,509,659.0,1,0,0,0,0,0,0,0,0,0
36271,586,498,659.0,1,0,0,0,0,0,0,0,0,0
36272,614,489,659.0,1,0,0,0,0,0,0,0,0,0
36273,628,483,659.0,1,0,0,0,0,0,0,0,0,0
36274,616,487,659.0,1,0,0,0,0,0,0,0,0,0
36275,583,495,659.0,1,0,0,0,0,0,0,0,0,0
36276,541,506,659.0,1,0,0,0,0,0,0,0,0,0
36277,502,517,659.0,1,0,0,0,0,0,0,0,0,0
36278,479,523,659.0,1,0,0,0,0,0,0,0,0,0
36279,467,525,659.0,1,0,0,0,0,0,0,0,0,0
36280,463,525,659.0,1,0,0,0,0,0,0,0,0,0
36281,462,523,659.0,1,0,0,0,0,0,0,0,0,0
36282,466,520,659.0,1,0,0,0,0,0,0,0,0,0
36283,472,516,659.0,1,0,0,0,0,0,0,0,0,0
36284,477,515,659.0,1,0,0,0,0,0,0,0,0,0
36285,481,514,659.0,1,0,0,0,0,0,0,0,0,0
36286,483,516,659.0,1,0,0,0,0,0,0,0,0,0
36287,485,517,659.0,1,0,0,0,0,0,0,0,0,0
36288,486,516,659.0,1,0,0,0,0,0,0,0,0,0
36289,488,513,659.0,1,0,0,0,0,0,0,0,0,0
36290,490,513,659.0,1,0,0,0,0,0,0,0,0,0
36291,492,513,659.0,1,0,0,0,0,0,0,0,0,0
36292,493,512,659.0,1,0,0,0,0,0,0,0,0,0
36293,494,512,659.0,1,0,0,0,0,0,0,0,0,0
36294,496,512,659.0,1,0,0,0,0,0,0,0,0,0
36295,499,512,659.0,1,0,0,0,0,0,0,0,0,0
36296,502,512,659.0,1,0,0,0,0,0,0,0,0,0
36297,506,512,659.0,1,0,0,0,0,0,0,0,0,0
36298,505,513,659.0,1,0,0,0,0,0,0,0,0,0
36299,501,513,659.0,1,0,0,0,0,0,0,0,0,0
36300,495,513,659.0,1,0,0,0,0,0,0,0,0,0
36301,492,513,659.0,1,0,0,0,0,0,0,0,0,0
36302,493,511,659.0,1,0,0,0,0,0,0,0,0,0
36303,497,510,659.0,1,0,0,0,0,0,0,0,0,0
36304,500,510,659.0,1,0,0,0,0,0,0,0,0,0
36305,501,510,659.0,1,0,0,0,0,0,0,0,0,0
36306,502,511,659.0,1,0,0,0,0,0,0,0,0,0
36307,503,511,659.0,1,0,0,0,0,0,0,0,0,0
36308,504,510,659.0,1,0,0,0,0,0,0,0,0,0
36309,505,508,659.0,1,0,0,0,0,0,0,0,0,0
36310,507,510,659.0,1,0,0,0,0,0,0,0,0,0
36311,508,512,659.0,1,0,0,0,0,0,0,0,0,0
36312,510,513,659.0,1,0,0,0,0,0,0,0,0,0
36313,511,514,659.0,1,0,0,0,0,0,0,0,0,0
36314,513,513,659.0,1,0,0,0,0,0,0,0,0,0
36315,513,513,659.0,1,0,0,0,0,0,0,0,0,0
